"id","calories","carbs","datetime","fat","fiber","foodId","protein","sugar","servingAmount","servingId"
126,182.4,13.74,"2021-12-11 05:01:23.018619+00",9.88,0.0,794,9.79,15.99,3.04,7
125,251.55,55.58,"2021-12-11 05:00:21.933606+00",0.79,0.39,4734,4.14,5.89,0.65,3
124,220.0,24.0,"2021-12-10 21:20:54.432598+00",13.0,2.0,2633303,3.0,0.0,1.0,0
123,410.0,37.0,"2021-12-10 21:20:06.141677+00",19.0,2.0,42330,24.0,8.0,1.0,0
122,110.0,12.0,"2021-12-10 15:54:14.451554+00",7.0,2.0,161900,2.0,6.0,1.0,0
121,200.0,42.0,"2021-12-10 15:53:36.318343+00",1.0,3.0,396370,7.0,1.0,1.0,0
120,128.0,10.0,"2021-12-10 02:19:20.902186+00",0.0,0.0,254518,1.4,0.0,1.0,0
119,49.2,7.06,"2021-12-10 02:16:05.004336+00",2.07,0.48,308754,0.83,1.24,0.6,2
118,560.0,64.0,"2021-12-09 19:57:02.346496+00",22.0,4.0,27707,28.0,6.0,2.0,0
117,128.0,10.0,"2021-12-09 16:43:02.989675+00",0.0,0.0,254518,1.4,0.0,1.0,0
116,1680.0,192.0,"2021-12-09 16:17:59.611785+00",66.0,12.0,27707,84.0,18.0,6.0,0
115,150.0,13.4,"2021-12-09 01:52:31.641393+00",0.0,0.0,589094,1.64,0.0,1.0,0
114,270.0,0.0,"2021-12-08 21:15:35.842933+00",16.9,0.0,1695,27.34,0.0,2.0,0
113,258.6,19.48,"2021-12-08 18:01:37.524967+00",14.01,0.0,794,13.88,22.67,4.31,7
112,309.6,68.4,"2021-12-08 18:00:08.319547+00",0.98,0.48,4734,5.1,7.25,0.8,3
111,802.0,125.0,"2021-12-07 23:27:01.25689+00",29.0,2.0,40355645,17.0,103.0,1.0,0
110,880.0,62.0,"2021-12-07 23:26:50.887496+00",54.0,2.0,9909546,38.0,4.0,2.0,0
109,578.0,22.0,"2021-12-07 23:26:41.17148+00",41.0,1.0,8342653,29.0,3.0,1.0,0
108,292.2,22.01,"2021-12-07 13:14:57.458215+00",15.83,0.0,794,15.68,25.62,4.87,7
107,282.51,62.42,"2021-12-07 13:14:00.008864+00",0.89,0.44,4734,4.65,6.61,0.73,3
106,606.0,64.53,"2021-12-06 23:11:17.213564+00",20.67,10.2,4812,42.87,6.78,3.0,0
105,146.0,19.6,"2021-12-06 23:02:39.09317+00",7.01,1.6,4323,2.34,0.3,1.0,0
104,90.0,2.6,"2021-12-06 22:52:35.802993+00",0.0,0.0,18456497,0.0,0.0,1.0,0
103,260.4,19.62,"2021-12-06 13:47:00.35835+00",14.11,0.0,794,13.97,22.83,4.34,7
102,367.65,81.23,"2021-12-06 13:46:06.224067+00",1.16,0.57,4734,6.05,8.61,0.95,3
101,132.0,9.94,"2021-12-06 01:44:20.351561+00",7.15,0.0,794,7.08,11.57,2.2,7
100,248.2,48.18,"2021-12-06 01:43:03.599787+00",5.84,2.92,2699230,2.92,17.52,1.46,0
99,110.0,7.0,"2021-12-05 21:38:41.860007+00",0.0,0.0,234707,0.9,0.0,1.0,0
98,802.0,125.0,"2021-12-05 15:57:48.68102+00",29.0,2.0,40355645,17.0,103.0,1.0,0
97,880.0,62.0,"2021-12-05 15:57:32.162017+00",54.0,2.0,9909546,38.0,4.0,2.0,0
96,578.0,22.0,"2021-12-05 15:57:22.929088+00",41.0,1.0,8342653,29.0,3.0,1.0,0
95,95.0,3.2,"2021-12-05 05:05:23.628747+00",0.0,0.0,3859443,0.7,0.0,1.0,0
94,55.0,14.0,"2021-12-05 03:16:24.575684+00",0.0,0.0,2504622,0.0,13.5,0.5,0
93,137.0,23.0,"2021-12-05 02:34:39.857634+00",0.0,0.0,1640808,0.0,18.0,1.0,0
92,105.0,19.5,"2021-12-04 22:32:10.477416+00",2.25,3.0,30446,3.0,13.5,1.5,0
91,400.0,84.0,"2021-12-04 22:31:40.405002+00",2.0,4.0,60810,14.0,2.0,2.0,0
90,652.4,13.98,"2021-12-04 22:30:40.599731+00",53.59,2.33,3599521,32.62,4.66,2.33,0
89,150.0,13.4,"2021-12-04 22:25:08.64477+00",0.0,0.0,589094,1.64,0.0,1.0,0
88,250.8,18.89,"2021-12-04 17:51:55.266224+00",13.59,0.0,794,13.46,21.99,4.18,7
87,545.7,105.93,"2021-12-04 17:51:24.616655+00",12.84,6.42,2699230,6.42,38.52,3.21,0
86,223.8,16.86,"2021-12-04 03:08:28.052083+00",12.12,0.0,794,12.01,19.62,3.73,7
85,447.78,86.92,"2021-12-04 03:07:48.70505+00",10.54,5.27,2699230,5.27,31.61,2.634,0
84,1680.0,192.0,"2021-12-03 16:12:43.737151+00",66.0,12.0,27707,84.0,18.0,6.0,0
83,200.0,13.0,"2021-12-03 06:00:50.617005+00",0.0,0.0,304368,1.0,0.0,1.0,0
82,232.8,17.54,"2021-12-03 04:01:16.82593+00",12.61,0.0,794,12.49,20.41,3.88,7
81,538.9,104.61,"2021-12-03 04:00:18.92685+00",12.68,6.34,2699230,6.34,38.04,3.17,0
80,712.48,53.83,"2021-12-02 22:06:40.934262+00",38.7,0.0,794,38.36,62.61,4.88,0
79,657.9,127.71,"2021-12-02 22:05:59.035605+00",15.48,7.74,2699230,7.74,46.44,3.87,0
78,249.6,18.8,"2021-12-02 20:43:28.448183+00",13.52,0.0,794,13.4,21.88,4.16,7
77,518.5,100.65,"2021-12-02 20:42:24.49852+00",12.2,6.1,2699230,6.1,36.6,3.05,0
76,196.8,14.83,"2021-12-02 02:12:22.153594+00",10.66,0.0,794,10.56,17.25,3.28,7
75,232.96,55.18,"2021-12-02 02:11:51.082722+00",0.81,0.45,4630,4.28,4.9,0.64,2
